SUBMIT DATE,count
2011-07-25,2
2011-08-11,1
2011-10-06,1
2011-10-13,1
2011-10-19,2
2011-11-02,1
2011-11-07,1
2011-12-21,2
2011-12-29,3
2012-01-19,1
2012-01-20,1
2012-01-23,2
2012-02-01,1
2012-02-06,1
2012-02-13,1
2012-02-24,2
2012-02-28,2
2012-02-29,4
2012-03-01,2
2012-03-02,2
2012-03-05,4
2012-03-06,3
2012-03-07,8
2012-03-08,1
2012-03-09,1
2012-03-12,2
2012-03-13,6
2012-03-15,6
2012-03-16,2
2012-03-20,1
2012-03-21,5
2012-03-22,1
2012-03-23,4
2012-03-25,2
2012-03-26,1
2012-03-27,1
2012-03-29,1
2012-03-30,1
2012-04-02,1
2012-04-05,3
2012-04-11,1
2012-04-13,1
2012-04-16,1
2012-04-18,1
2012-04-19,4
2012-04-20,1
2012-04-24,1
2012-04-25,2
2012-04-26,1
2012-04-27,1
2012-04-30,2
2012-05-01,2
2012-05-02,1
2012-05-03,2
2012-05-08,1
2012-05-09,4
2012-05-10,3
2012-05-15,1
2012-05-17,1
2012-05-18,2
2012-05-21,2
2012-05-22,3
2012-05-23,2
2012-05-25,3
2012-05-29,2
2012-05-30,1
2012-06-01,1
2012-06-04,1
2012-06-05,4
2012-06-14,2
2012-06-15,1
2012-06-19,1
2012-06-20,1
2012-06-25,1
2012-06-28,2
2012-06-29,1
2012-07-01,2
2012-07-02,1
2012-07-06,2
2012-07-10,2
2012-07-12,1
2012-07-13,2
2012-07-17,3
2012-08-01,2
2012-08-08,1
2012-08-15,1
2012-08-16,1
2012-08-17,1
2012-08-22,1
2012-08-23,2
2012-08-27,1
2012-09-05,2
2012-09-07,1
2012-09-11,1
2012-09-14,2
2012-09-26,4
2012-09-27,1
2012-10-02,1
2012-10-03,1
2012-10-10,2
2012-10-11,3
2012-10-15,1
2012-10-17,1
2012-10-18,1
2012-10-24,3
2012-10-26,3
2012-10-30,1
2012-10-31,2
2012-11-01,1
2012-11-09,3
2012-11-14,1
2012-11-15,2
2012-12-03,1
2012-12-04,3
2012-12-05,1
2012-12-06,2
2012-12-11,1
2012-12-20,4
2012-12-24,2
2012-12-27,2
2012-12-28,2
2013-01-02,2
2013-01-03,4
2013-01-04,3
2013-01-07,3
2013-01-08,2
2013-01-09,2
2013-01-15,4
2013-01-16,4
2013-01-18,4
2013-01-21,2
2013-01-22,2
2013-01-23,2
2013-01-24,6
2013-01-30,4
2013-02-04,3
2013-02-05,2
2013-02-06,1
2013-02-11,2
2013-02-12,3
2013-02-13,4
2013-02-14,5
2013-02-15,1
2013-02-18,4
2013-02-19,2
2013-02-20,6
2013-02-25,3
2013-02-26,3
2013-02-27,2
2013-02-28,2
2013-03-01,6
2013-03-04,4
2013-03-05,5
2013-03-06,5
2013-03-07,3
2013-03-08,8
2013-03-11,13
2013-03-12,2
2013-03-13,4
2013-03-14,2
2013-03-15,3
2013-03-18,3
2013-03-19,3
2013-03-20,2
2013-03-21,2
2013-03-22,5
2013-03-25,4
2013-03-27,3
2013-04-02,2
2013-04-04,2
2013-04-08,1
2013-04-10,1
2013-04-11,2
2013-04-14,2
2013-04-15,1
2013-04-16,3
2013-04-17,3
2013-04-23,1
2013-04-25,7
2013-04-26,3
2013-04-29,2
2013-05-03,2
2013-05-06,2
2013-05-07,3
2013-05-09,2
2013-05-13,2
2013-05-14,4
2013-05-15,2
2013-05-16,7
2013-05-17,2
2013-05-20,2
2013-05-21,3
2013-05-22,2
2013-05-23,2
2013-05-24,2
2013-05-25,1
2013-05-28,1
2013-05-29,4
2013-05-31,2
2013-06-03,1
2013-06-05,3
2013-06-06,4
2013-06-07,2
2013-06-14,4
2013-06-17,3
2013-06-20,2
2013-06-21,7
2013-06-24,5
2013-06-25,7
2013-06-26,5
2013-06-27,4
2013-06-28,3
2013-07-03,1
2013-07-08,2
2013-07-10,2
2013-07-11,3
2013-07-12,4
2013-07-16,2
2013-07-18,5
2013-07-19,6
2013-07-22,2
2013-07-24,1
2013-07-25,2
2013-07-26,4
2013-07-29,1
2013-07-31,1
2013-08-07,1
2013-08-12,2
2013-08-14,2
2013-08-15,6
2013-08-16,5
2013-08-17,1
2013-08-19,8
2013-08-20,4
2013-08-22,1
2013-08-23,1
2013-08-26,4
2013-08-27,1
2013-08-28,2
2013-08-30,3
2013-09-04,1
2013-09-05,4
2013-09-09,2
2013-09-10,2
2013-09-11,1
2013-09-13,1
2013-09-16,2
2013-09-17,4
2013-09-18,2
2013-09-19,2
2013-09-20,2
2013-09-23,1
2013-09-24,2
2013-09-26,1
2013-09-27,2
2013-09-30,3
2013-10-01,1
2013-10-18,4
2013-10-21,5
2013-10-23,2
2013-10-24,3
2013-10-25,5
2013-10-30,3
2013-11-01,8
2013-11-04,4
2013-11-05,6
2013-11-06,11
2013-11-07,12
2013-11-08,4
2013-11-11,3
2013-11-12,11
2013-11-13,15
2013-11-14,2
2013-11-15,9
2013-11-16,1
2013-11-18,3
2013-11-19,6
2013-11-20,1
2013-11-21,6
2013-11-22,4
2013-11-25,5
2013-11-26,2
2013-11-27,7
2013-12-02,2
2013-12-03,8
2013-12-04,8
2013-12-06,4
2013-12-09,2
2013-12-10,5
2013-12-12,1
2013-12-13,2
2013-12-16,13
2013-12-17,1
2013-12-18,6
2013-12-19,5
2013-12-20,1
2013-12-23,5
2013-12-24,6
2013-12-27,3
2013-12-30,7
2013-12-31,4
2014-01-03,3
2014-01-06,12
2014-01-08,1
2014-01-09,2
2014-01-10,2
2014-01-14,1
2014-01-15,2
2014-01-16,1
2014-01-17,4
2014-01-21,3
2014-01-22,3
2014-01-23,4
2014-01-24,1
2014-01-27,2
2014-01-28,3
2014-01-29,2
2014-01-30,1
2014-01-31,4
2014-02-03,2
2014-02-04,2
2014-02-05,8
2014-02-06,9
2014-02-07,9
2014-02-10,3
2014-02-11,5
2014-02-13,1
2014-02-14,2
2014-02-18,2
2014-02-19,2
2014-02-20,2
2014-02-21,7
2014-02-23,1
2014-02-24,11
2014-02-25,5
2014-02-26,3
2014-02-27,5
2014-03-01,2
2014-03-03,3
2014-03-04,9
2014-03-05,9
2014-03-06,8
2014-03-07,7
2014-03-10,7
2014-03-11,18
2014-03-12,4
2014-03-13,6
2014-03-14,9
2014-03-17,5
2014-03-18,7
2014-03-19,4
2014-03-20,1
2014-03-21,3
2014-03-24,4
2014-03-26,2
2014-03-27,4
2014-03-28,2
2014-03-31,6
2014-04-01,4
2014-04-03,1
2014-04-04,2
2014-04-08,2
2014-04-11,2
2014-04-14,3
2014-04-15,1
2014-04-16,6
2014-04-17,2
2014-04-18,2
2014-04-21,5
2014-04-22,3
2014-04-23,3
2014-04-24,2
2014-04-25,3
2014-04-28,2
2014-04-30,2
2014-05-01,6
2014-05-02,6
2014-05-04,1
2014-05-05,5
2014-05-07,4
2014-05-09,3
2014-05-12,3
2014-05-13,4
2014-05-15,8
2014-05-16,2
2014-05-19,2
2014-05-20,5
2014-05-21,1
2014-05-22,4
2014-05-23,7
2014-05-28,8
2014-05-29,9
2014-05-30,2
2014-06-02,4
2014-06-03,2
2014-06-04,7
2014-06-06,2
2014-06-09,3
2014-06-10,2
2014-06-11,7
2014-06-12,1
2014-06-13,2
2014-06-17,3
2014-06-18,1
2014-06-19,2
2014-06-20,2
2014-06-24,5
2014-06-25,6
2014-06-26,11
2014-06-27,6
2014-06-30,6
2014-07-02,3
2014-07-03,1
2014-07-07,1
2014-07-08,4
2014-07-09,3
2014-07-10,2
2014-07-14,5
2014-07-18,6
2014-07-21,4
2014-07-22,1
2014-07-23,5
2014-07-24,7
2014-07-25,12
2014-07-29,4
2014-07-31,1
2014-08-04,6
2014-08-05,4
2014-08-06,2
2014-08-07,2
2014-08-08,2
2014-08-11,6
2014-08-12,9
2014-08-13,3
2014-08-14,6
2014-08-15,7
2014-08-18,2
2014-08-21,5
2014-08-22,1
2014-08-25,8
2014-08-26,4
2014-08-27,5
2014-08-28,17
2014-08-29,2
2014-09-02,1
2014-09-03,1
2014-09-04,6
2014-09-05,8
2014-09-08,5
2014-09-09,4
2014-09-10,2
2014-09-11,2
2014-09-12,3
2014-09-16,6
2014-09-17,5
2014-09-18,7
2014-09-19,5
2014-09-22,3
2014-09-23,5
2014-09-24,3
2014-09-25,240
2014-09-26,211
2014-09-27,31
2014-09-28,1
2014-09-29,245
2014-09-30,275
2014-10-01,208
2014-10-02,188
2014-10-03,178
2014-10-04,5
2014-10-05,2
2014-10-06,167
2014-10-07,219
2014-10-08,237
2014-10-09,328
2014-10-10,253
2014-10-11,81
2014-10-12,5
2014-10-13,188
2014-10-14,258
2014-10-15,212
2014-10-16,276
2014-10-17,202
2014-10-18,20
2014-10-19,16
